Agency Name,Agency Abbreviation
MN Prairie County Alliance,MNPrairie Alliance
"Model Cities of St. Paul, Inc.",Model Cities
More Doors LLC,More Doors
Morrison County Housing and Redevelopment Authority,Morrison County HRA
"Mosaic Apartment Services, Inc.",Mosaic
MoveFwd,MoveFwd
Multicultural Care Center LLC,Multicultural Care Center
MySkye Care LLC,MySkye Care
Nameless Coalition for the Homeless,Nameless
Native American Community Clinic,NACC
NEEMA,NEEMA
Neighborhood House (East Side Family Center),East Side
New American Development Center,NADC
New Opportunities,New Opportunities
"New Pathways, Inc.",New Pathways
NewDay Housing LLC,NewDay Housing LLC
Next Level Housing Solutions LLC,Next Level
Northfield Union of Youth,NUY
"Northland Counseling Center, Inc.",Northland Counseling Center
NorthPoint Health and Wellness Center,NorthPoint
NorthStar Community Services,NorthStar
Northwest Community Action,NWCAA
Northwest Indian Community Development Center,NWICDC
"Oak Grove Care Center, Inc.",Oak Grove CC
Oasis Central Minnesota,Oasis CM
Oasis for Youth,Oasis for Youth
"October Allen, Inc.",October Allen
Olmsted County Community Services,Olmsted HRA
One Roof Community Housing,One Roof
Open Doors for Youth,Open Doors for Youth
Optimal Care Services Inc,Optimal Care Services
Our Saviour's Community Services,Our Saviour's
Ours to Serve House of Hospitality Inc,Ours to Serve
"Parents in Community Action, Inc.",PICA
Partners for Affordable Housing,PAH
Peace House Community,Peace House
People Incorporated,People Inc.
People Serving People,PSP
Peoples Development Services,PDS
Peoples Lutheran Chapel,Peoples Church
Person Centered Housing Consultants,PCHC
"Perspectives, Inc.",Perspectives
Phoenix Service Corporation,Phoenix Service Corp
Pillsbury United Communities,Pillsbury United Communities
Place of Hope Ministries,Place of Hope
Prairie Five Community Action Council,Prairie Five CAC
Presentation Partners in Housing,PPiH
Primus Incorporated,Primus
Project for Pride in Living,PPL
"Rachel's Light, Inc",Rachel's Light
RADIAS Health,RADIAS Health
Ramsey County,Ramsey County
Range Mental Health Center,RMHC
Range Transitional Housing,RTH
Recovery Is Happening,Recovery Is Happening
Red Lake Homeless Shelter,Red Lake Shelter
"Red Lake Nation Safe Harbor, Inc.",Red Lake Nation Safe Harbor
Red Lake Reservation Housing Authority,Red Lake Reservation Housing Authority
Red Wing Housing and Redevelopment Authority,Red Wing HRA
"Rescue Now Services, Inc.",Rescue Now
Residential Transitions Inc,RTI
Restoration Incorporated Ministries Service Corporation,RIMSC
"Rise, Inc.",Rise
River Valleys CoC,River Valleys CoC
Rochester Area Foundation,Rochester Area Foundation
RS Eden,RS EDEN
